# annual AT zonal mean with weighted latitudes for nh - North hemisphere, gl - Greenland (6–75°W, 58–85°N), arctic - the Arctic (> 66:5° N),
# AT in °C, 1900-2015
# based on 20CRv3 data
years,global_AT,nh_AT,arctic_AT,gl_AT,global_AT_ano,nh_AT_ano,arctic_AT_ano,gl_AT_ano,gl_AT_at
1998,14.799650483365326,15.692122171293136,-11.118309149927027,-6.159899830307722,0.0727874635702452,0.0697642736988104,-0.7575716413013964,-0.0443505795813434,-6.257249778233154
1999,14.598682802160283,15.536008737183693,-10.904557021346877,-6.309227080332107,-0.1281802176347977,-0.0863491604106325,-0.543819512721246,-0.1936778296057282,-6.158376704503155
2000,14.624039824932764,15.48822391095814,-10.96412333829835,-6.719250437491724,-0.1028231948623172,-0.1341339866361846,-0.6033858296727193,-0.6037011867653446,-6.224526311399575
2001,14.77160236406388,15.690580730877455,-10.511631942338797,-5.749034592599571,0.0447393442687982,0.06822283328313,-0.1508944337131659,0.3665146581268077,-6.2582794043645205
2002,14.822971165269962,15.6823109048907,-10.402223423810083,-5.830677647473635,0.0961081454748811,0.0599530072963752,-0.0414859151844524,0.2848716032527436,-6.153617917640952
2003,14.785369165956183,15.69586848719348,-10.473308901186384,-5.643065753215808,0.0585061461611022,0.0735105895991541,-0.1125713925607527,0.4724834975105709,-6.050251102222569
2004,14.742870926637238,15.661303785032658,-11.00180564847932,-5.629014734805082,0.016007906842157,0.0389458874383326,-0.6410681398536884,0.4865345159212966,-5.914208633117164
2005,14.903430531505649,15.896068875758315,-9.360584399037975,-4.8702540827363805,0.1765675117105676,0.2737109781639901,1.0001531095876557,1.2452951679899984,-5.544409362166095
2006,14.880670599503103,15.898370686387809,-9.384119776701482,-4.975086481493122,0.1538075797080225,0.2760127887934835,0.9766177319241488,1.140462769233257,-5.389619739944806
2007,14.895976429656514,15.938191993033628,-9.154972334849276,-5.628060117008943,0.169113409861433,0.3158340954393033,1.2057651737763546,0.4874891337174363,-5.349096233851867
2008,14.715617349723232,15.697660412334358,-9.766370344298082,-5.92882110036328,-0.0112456700718492,0.0753025147400325,0.594367164327549,0.1867281503630993,-5.406247303281361
2009,14.83107175022144,15.733225108283024,-9.9317178417312,-5.809773277421186,0.1042087304263592,0.1108672106886992,0.4290196668944315,0.3057759733051925,-5.442399011804582
2010,14.968058095781885,15.982792473950326,-9.100308363058671,-3.749388263057085,0.2411950759868038,0.3604345763560008,1.2604291455669596,2.3661609876692937,-5.218225847868723
2011,14.85917338181048,15.809706916454672,-9.040548252932922,-5.745666590141809,0.1323103620153993,0.1873490188603472,1.3201892556927088,0.3698826605845697,-5.37234186959846
2012,14.89155760739095,15.884423979590906,-8.80883003846452,-5.181759949935383,0.1646945875958696,0.262066081996581,1.55190747016111,0.9337893007909956,-5.283081836183749
2013,14.969363349628736,15.91671927563914,-9.566441858581127,-5.617984384793715,0.2425003298336552,0.2943613780448153,0.7942956500445035,0.4975648659326639,-5.220914493069836
2014,15.021361566914209,16.064300640876127,-8.989792310245377,-5.05119952170287,0.2944985471191277,0.4419427432818015,1.3709451983802534,1.064349729023509,-5.069199741926172
2015,15.181346854558116,16.264704908746864,-9.29411175935394,-6.520774772715697,0.4544838347630353,0.6423470111525393,1.0666257492716902,-0.4052255219893181,-5.623477043857895
